,job_name,job_score,number_of_jobs,unemployment_rate,median_salary,job_dscription
80,Solar Photovoltaic Installer,5.8,6100,N/A,46470,"Solar photovoltaic installers assemble, implement and maintain solar panels, which convert rays from the sun into energy, on the rooftops of homes and other buildings. Constance Odle joined the solar industry after she found herself looking for employment when the economy tanked about a decade ago. The former production manager who worked with graphic and industrial designers wanted to break into the green sector, so she sent an application to Sungevity, then a solar electricity startup. The Oakland, California, company hired her and agreed to provide on-the-job training.  The solar industry turned out to be a great fit. Odle says she loved the idea that instead of helping to create “pretty waste” in publications, she was helping to create sustainable energy. Now an associate project manager at Borrego Solar Systems Inc., Odle works with other project managers and oversees solar photovoltaic installers who implement commercial PV installations.The Bureau of Labor Statistics projects 52.1 percent employment growth for solar photovoltaic installers between 2020 and 2030. In that period, an estimated 6,100 jobs should open up."
81,Radiation Therapist,5.8,1600,N/A,86850,"Radiation therapists carry out radiation treatment plans created by radiation oncologists and dosimetrists. These professionals work with CAT scans, X-rays and Cone beam computed tomography before radiation is even administered. These technologies enable them to accurately position cancer patients so that the radiation is administered precisely. They also use immobilization devices so that each time a patient comes in for radiation, they can replicate the patient's position for the sake of accurate treatment. Radiation therapists are experts on computer technologies, which will appropriate the correct doses of radiation to the radiation machine. They constantly monitor their patients, and they detail their treatment. Dorothy Hargrove, chief radiation therapist at Oregon Health & Science University in Portland, says she became interested in the field while she was earning her associate degree. Early in her program, she realized that general X-ray wasn't for her. ""I didn't like that I didn't get to know my patients very well,"" Hargrove says. But four months before she was due to graduate, Hargrove took an elective course in radiation therapy that changed her life. ""I watched therapists who knew their patients by name,"" Hargrove says. ""You got to know patients and be a part of their recovery, and that was so different than general X-ray. It was love at first patient.""These days, Hargrove manages a team of radiation therapists. She's worked as a radiation therapist for more than 22 years, treating cancer patients with radiation. ""It's a perfect balance between patient care and great technology,"" she says.Earlier cancer diagnoses and new technologies are driving the need for more radiation therapists. The aging population is also precipitating this demand, since the risk of cancer increases with age.The Bureau of Labor Statistics projects 9.1 percent employment growth for radiation therapists between 2020 and 2030. In that period, an estimated 1,600 jobs should open up."
82,Delivery Truck Driver,5.7,101100,7.4,37050,"Delivery truck drivers unload their precious cargo at a variety of places, including businesses, college campuses, apartment complexes and houses in residential neighborhoods. They are essential for getting goods from point A to point B.When it comes to our letters and packages, we seem to forget about the famous adage advising us to emphasize the journey rather than the destination. We want the new pair of shoes purchased online or the birthday gift from relatives on the opposite coast – and we want them now. Lost along the way is the journey, where dutiful delivery truck drivers play a crucial role. ""The bulk of the first part of their day is spent delivering packages, and it can be a wide variety of different people and businesses that they are going to visit throughout the day,"" says Dan McMackin, public relations manager for United Parcel Service and former delivery truck driver. ""Delivery drivers serve everything from hospitals to high schools to small businesses to large businesses, and they bring them all the things they need to run their businesses.""  The Bureau of Labor Statistics projects 9.8 percent employment growth for delivery truck drivers between 2020 and 2030. In that period, an estimated 101,100 jobs should open up."
83,Paralegal,5.7,41400,6.1,52920,"Paralegals aid attorneys in nearly every facet of the legal profession. From drafting motions to summarizing reports of legal precedent, a paralegal can help lighten a lawyer's load tremendously.""Behind every great lawyer is a great paralegal,"" is a phrase scrawled on many a magnet and coffee mug. And there's some truth in the saying. Like lawyers, paralegals can specialize in certain types of law, such as criminal, corporate, immigration and family. Also known as legal assistants, paralegals' involvement in cases depends on their employer's discretion. Some have a high degree of responsibility and autonomy, while others are restricted to narrower roles. The best paralegals are team players who operate behind the scenes. Paralegals work in a variety of settings, but they're most commonly employed by law firms, government agencies and legal departments at corporations.The Bureau of Labor Statistics projects 12.0 percent employment growth for paralegals between 2020 and 2030. In that period, an estimated 41,400 jobs should open up."
84,Firefighter,5.7,26900,1.9,52500,"Firefighters are trained to extinguish fires and otherwise rescue people and animals from dangerous situations. They respond to events including fires, floods, medical incidents and motor vehicle accidents, as well as situations involving hazardous materials, to assist people in distress.“It’s different than it was 50 years ago, and even different than it was 20 years ago,” says Ty Cobb, fire chief at Columbia Fire and Rescue in Columbia, Tennessee. “Most paid, professional departments respond to all types of emergencies. So to be hired at most departments, you have to be an (emergency medical technician) or have some special medical training.”The Bureau of Labor Statistics projects 8.5 percent employment growth for firefighters between 2020 and 2030. In that period, an estimated 26,900 jobs should open up."
85,Credit Counselor,5.7,3000,2.1,46170,"A credit counselor helps people settle their debt through education, budgeting and by providing other tools to reduce debt. If money is a taboo conversation topic, debt is a completely restricted dialogue. But credit counselors make it their business to tackle this uncomfortable topic. Consumers turn to these professionals when they can't see a way out of their debt. Nicole Brown, an enrollment manager at Debt Reduction Services Inc. on Long Island in New York, gets to help people find a way out of their debt. ""For me personally, the draw [to the job] was helping people,"" she says. But it's not an easy gig. Brown says it's necessary for clients to come clean with the state of their finances, so she can get a clear picture of their debt and find the best way to help them out of that debt. ""People aren't proud to talk about their debt,"" Brown says. ""Sometimes you have to pull information out of them."" After she gets a clear picture of a client's situation, she figures out whether they can be helped by enrolling in a debt management program, which involves consolidating debt and talking with creditors to lower monthly payments. ""It's not a perfect solution for everyone,"" she says. For some consumers, the way forward is by declaring bankruptcy. Brown also offers advice on monthly household budgets and local resources like food banks or Medicaid. The Bureau of Labor Statistics projects 9.0 percent employment growth for credit counselors between 2020 and 2030. In that period, an estimated 3,000 jobs should open up."
86,School Counselor,5.7,37000,5.3,58120,"School counselors provide academic, personal and developmental support to school-age children. These professionals used to be referred to as ""guidance counselors,"" but that term doesn't scratch the surface of the chalkboard when it comes to the duties of the profession. Elementary school counselors interact with young kids, either individually or in small groups, acting as a sounding board for all their day-to-day activities. They may also assist teachers in assessing students' abilities and interests, and they ensure that children with different needs receive proper care and education. High school counselors have similar responsibilities, but they also help teens transition from secondary school into the workforce or collegiate life. They could assist students with college application materials, coordinate study trips, proctor entrance tests and chaperone college visits. They may also help a young person pick a career path and help him or her enter an apprenticeship. ""It is one of the best professions in the world,"" says Gail M. Smith, a retired school counseling director for the Cobb County School District in Georgia and former board member with the American School Counselor Association. ""We get to work with students and see them achieve.""With the increasing amount of on-site campus career centers opening to help students prepare and develop skills for the workforce, school counseling jobs are in demand.The Bureau of Labor Statistics projects 11.5 percent employment growth for school counselors between 2020 and 2030. In that period, an estimated 37,000 jobs should open up."
87,Loan Officer,5.7,4300,2.1,63960,"Loan officers advise, authorize and recommend loan approval for individuals and businesses.Duties might include talking with loan applicants about loan terms and helping them find a product that may be a good fit, as well as verifying information such as an applicant’s income and credit score and making sure that loan agreements comply with state and federal regulations.“They’re…charged with understanding laws and regulations and being knowledgeable about (the bank’s) products and services, which ensures that they’re doing what’s best for their customers,” says Peter Boomer, Chicago-based head of mortgage distribution for PNC Bank.There are a few different types of loan officers. Commercial loan officers focus on business loans, while consumer loan officers specialize in loans to individuals, such as personal loans or auto loans. Mortgage loan officers focus on loans for real estate transactions. Some loan officers are further specialized. For example, loan underwriters collect and evaluate the information on loan applications to determine an applicant’s creditworthiness, while loan collection officers are tasked with contacting borrowers who miss loan payments and helping them find a way to continue making payments.The Bureau of Labor Statistics projects 1.3 percent employment growth for loan officers between 2020 and 2030. In that period, an estimated 4,300 jobs should open up."
88,Political Scientist,5.7,600,N/A,125350,"Political scientists work to understand government and politics in theory and in practice by considering topics in international relations, government operations, local administration and more. They can hold positions at large universities or national nonprofits, for instance, and might focus on teaching, research or service. As a department head and professor of government at the University of Tennessee at Chattanooga, Michelle D. Deardorff has the “joy of being able to teach, speak, read (and) write about the way in which power and government interact with individuals and communities,” she says.Though more than half of political scientists worked for the federal government in 2021, according to the Bureau of Labor Statistics, there are also opportunities in other sectors. Political scientists mostly interested in research, for instance, can look for positions at think tanks, while those who wish to focus on teaching might find their home at a community college. Political scientists employ empirical or normative approaches in their studies. The empirical approach allows political scientists to study ""what is"" through observation, while a normative perspective supports studies of ""what could or should be,"" Deardorff says. Political scientists should be self-starters who are interested in the field’s big questions.“I think if you're a really passive person this is going to be a harder field,” Deardorff says.The Bureau of Labor Statistics projects 8.6 percent employment growth for political scientists between 2020 and 2030. In that period, an estimated 600 jobs should open up."
89,Bartender,5.7,159900,30.7,24960,"Bartenders don't just follow a recipe; they understand how the bases, bitters, liqueurs and syrups mingle and can create their own cocktails.Julie Reiner, beverage director and co-owner of the Clover Club in Brooklyn, New York, and founder of the consulting firm Mixtress Consulting, remembers a time when being a bartender was considered a stepping-stone career. ""I was behind the bar, and people would ask me, 'So what do you want to do eventually?'"" she says. ""Now, we've come to a place where bartending is respected and a chosen profession."" In recent years, quality bars and learned bartenders have been swept into the cachet of our foodie culture, and those in the know think about more than just liquor when selecting a new – or frequenting a favorite – dive bar, cocktail lounge, wine bar or beer pub. Just like the best dining hot spots are known for the chefs in the kitchen, the best bars earn their street cred by the barkeeps pouring the spirits.""It's certainly a very fun job and a social job, which is why I ended up in it,"" Reiner says. ""I was cocktail waitressing when I was 18 years old, and I was always intrigued by what was happening behind the bar. Controlling the flow of alcohol in the room earns you respect from the crowd."" Now, Reiner fronts Clover Club, a Victorian-style venue in Brooklyn's Cobble Hill neighborhood, and is recognized as one of the top drink makers in the country. Listen to her speak, and it's evident there's artistry behind the profession.Competition for positions will be strongest in popular fine-dining establishments, and according to Reiner, it's fiercest in large cities like New York.The Bureau of Labor Statistics projects 32.5 percent employment growth for bartenders between 2020 and 2030. In that period, an estimated 159,900 jobs should open up."
90,Dental Hygienist,5.7,23100,10.6,77090,"Dental hygienists target prevention and treatment of oral diseases and conditions, recognizing this work as an integral element of overall health and wellbeing, according to the American Dental Hygienists’ Association.“We are trained to prevent disease,” says Matt Crespin, longtime dental hygienist and a former president of the ADHA. A hygienist’s daily tasks may include cleaning patients’ teeth, applying sealants and fluorides, and taking dental X-rays. Hygienists also educate patients on best dental practices, as well as products to use for clean and healthy mouths.But dental hygiene goes beyond the traditional dentist’s office. The emergence of medical and dental integration has changed the field significantly over the last few years. Dental hygienists are sometimes incorporated into full medical teams, such as in hospitals and nursing homes. Dental hygienists are focused on “not allowing disease to occur, because we know how to prevent it,” Crespin says. Their emphasis on preventive health may include patient assessment, disease diagnosis, and treatment planning and implementation.Some may take a research route, focusing on disease prevention. Others may work in advocacy or as educators. The Bureau of Labor Statistics projects 11.2 percent employment growth for dental hygienists between 2020 and 2030. In that period, an estimated 23,100 jobs should open up."
91,HR Specialist,5.7,35500,5.6,62700,"HR specialists help build businesses by hiring talented people and keeping them happy. These professionals have five major specialties: compensation and benefits; training and development; employment, recruiting and placement; information systems; and employee assistance. The work requires analytical skills, a fresh perspective and business knowledge. A human resources training specialist may have a different set of tasks to complete every day, ranging from recruiting or training new employees to answering questions about employee benefits and addressing compliance issues.Brownie Wise, an American saleswoman credited with making Tupperware a household name (and the originator of the Tupperware party), once said, ""If we build the people, they'll build the business."" Today, human resources training specialists operate under this same assumption.   ""Human resources jobs may literally involve any aspect of an employer's workforce,"" says Nancy H. Segal, owner of HR consulting firm Solutions for the Workplace LLC. ""There's enough variety for everyone, and each specialty requires a different knowledge base.""  Jobs often include flexible hours and telecommuting, and involve collaborating with project teams and employees based outside the office. Companies are now developing training initiatives that don't require workers to sit in a room for hours at a time. Technology and online resources are included in the process, which helps make training more inclusive for telecommuting employees. As a result, training and development specialists are needed to introduce new staff to company policies using these methods. The Bureau of Labor Statistics projects 10.8 percent employment growth for hr specialists between 2020 and 2030. In that period, an estimated 35,500 jobs should open up."
92,Ophthalmic Medical Technician,5.7,8700,4.9,37940,"Ophthalmic medical technicians complete the initial portion of the patient's eye examination, which involves taking the patient history, reviewing a patient's systemic medical health and medications, checking visual acuity, testing confrontational visual fields, assessing pupils and the ocular muscles, measuring intraocular pressure and performing refractometry. Christine McDonald, former president of the Association of Technical Personnel in Ophthalmology, refers to the start of her very rewarding career in ophthalmology as a ""happy circumstance."" A friend told McDonald about a job opening at the ophthalmology practice where she worked. After researching ophthalmology (McDonald didn't know what it was) and giving her friend four follow-up calls, she interviewed and got a job working in the front office, answering phones, scheduling patients and filing. Eventually, she was supervising the front office, handling the billing and scheduling patients' surgeries.She really enjoyed working with the patients, and says she was fortunate that the ophthalmologist at the practice liked to teach. ""He would invite me to look through a slit-lamp or hold an eyelid open for him. ... I was hooked right away; I found the field fascinating,"" McDonald says.After a decade at this practice, McDonald moved on to a larger practice where she could advance her skills. She also went on to acquire several certifications necessary for advancing in this field.The trajectory is actually quite common, as most ophthalmic medical technicians receive on-the-job training rather than acquiring any formal training. Yet, these professionals provide a great service to patients and doctors. ""Technicians also perform various types of special testing, imaging and assist in minor procedures. They are often in charge of sending prescriptions to pharmacies and triaging patient phone calls,"" McDonald says.The Bureau of Labor Statistics projects 14.3 percent employment growth for ophthalmic medical technicians between 2020 and 2030. In that period, an estimated 8,700 jobs should open up."
93,Mental Health Counselor,5.7,18500,4.3,48720,"Mental health counselors work in roles that range from treating individuals in outpatient settings to educating communities about mental health.As a mental health counselor, “you're not just eliminating disease; you're promoting wellness,” says Eric Beeson, a clinical associate professor at Northwestern University and former president of the American Mental Health Counselors Association. “It's not, 'How do we get you unsick?' It's, ‘How do we get you well?’”The approach mental health counselors bring to their work comes from training based in “a wellness and human development framework,” Beeson says. That framework “prepares us well to work with individuals, groups and families across the lifespan in traditional clinical settings, providing diagnosis, psychotherapy, clinical mental health counseling, prevention (and) aftercare support.”Mental health counselors can work in a variety of settings. While some work in or start private practices, others provide care at the community level or in settings such as inpatient residential programs. The Bureau of Labor Statistics projects 14.9 percent employment growth for mental health counselors between 2020 and 2030. In that period, an estimated 18,500 jobs should open up."
94,Elementary School Teacher,5.7,101700,5.3,60940,"Elementary school teachers build a special bond with their students as they watch them grow and learn throughout the year. With little kids constantly on the go, jumping, playing and laughing, this line of work requires boundless energy. These educators are knowledgeable about a variety of subjects, as many design lesson plans across subjects to teach their students the basics of reading, writing and mathematics.  They also frequently work one-on-one with students to assess their abilities and challenge them to overcome any weaknesses. Many elementary school teachers take a playful approach, using props, games and songs to actively engage their students. It's their job to not only create an academic and fun environment for the kids, but to also interact with the parents to communicate the students' progress. The Bureau of Labor Statistics projects 7.4 percent employment growth for elementary school teachers between 2020 and 2030. In that period, an estimated 101,700 jobs should open up."
95,MRI Technologist,5.6,3400,3.8,74690,"MRI technologists operate big tube-like machines that use a magnetic field and radio waves to make images of patients' organs, tissue and bones. These images help doctors diagnose certain medical issues like aneurysms, strokes, tumors and heart attack damage, among other conditions. MRI technology is Teri Blair's second career. ""I was in data processing way back when,"" she says, but then she married a Marine, moved around several times and had kids. In her early 30s, she decided to go into health care. She was thinking about nursing, but decided instead on radiography. ""Interestingly, I'm back working at computers, but I've never regretted the move,"" says Blair, an MRI technologist at the Mayo Clinic. Interacting with patients is a big part of the job too. ""Basically we're asking [patients] not to move for 30 minutes to an hour in a strange, scary environment,"" Blair says. For that reason, MRI technologists should be good communicators and passionate about patient care. She also says that good MRI techs are assertive, attentive and detail-oriented. Growth in this job is driven by an aging population, who will increasingly require MRI techs to operate and maintain diagnostic equipment after bone fractures and breaks caused from osteoporosis. The Bureau of Labor Statistics projects 8.1 percent employment growth for mri technologists between 2020 and 2030. In that period, an estimated 3,400 jobs should open up."
96,Medical Secretary,5.6,64900,4.9,37350,"Medical secretaries manage the daily ebb and flow of patients through a doctor's office. Whether they greet you upon arrival or work behind the scenes, ensuring shot records are in order, scanning insurance cards and collecting copayments, these professionals manage a fast-paced and often hectic environment. Medical secretaries may also assist with medical reports, take medical histories, arrange hospitalization and order surgical or medical supplies, in addition to answering phones and directing patients. ""On an average Monday, we answer up to 500-plus phone calls,"" says Ruth Scott of her former role as support and reception team leader at Medical Associates of Northern New Mexico. ""At any given time, we have six to eight receptionists on the phone, checking people in and out. We can see up to 134 patients-plus a day."" Medical secretaries may work at outpatient care centers, in physicians' offices and hospitals or in the offices of other health practitioners, such as chiropractors and optometrists.The rapid growth of the health care industry and an expected increase in demand for medical services by aging baby boomers will bolster job prospects for medical secretaries in the coming years. Job prospects are particularly good for those looking to work in physicians' offices and surgical hospitals.The Bureau of Labor Statistics projects 10.6 percent employment growth for medical secretaries between 2020 and 2030. In that period, an estimated 64,900 jobs should open up."
97,Taxi Driver,5.6,180600,26,32320,"Taxi drivers get passengers where they need to go with minimal hassle. Generally, they use a meter to determine fares and may pick up passengers who have requested a cab through the central dispatch or who are waiting for a ride at airports, train stations and hotels. In big cities, cab drivers frequently pick up passengers who hail them on the street. And these days, passengers may even ""e-hail"" cabs using smartphone apps. If you're a taxi driver, you never know who might get into the back of your cab – you could drive a family with kids, a political figure or a circus clown.The rise in ride-hailing apps, like Lyft and Uber, has added more options for people to get around. Passengers use a smartphone app to request a ride, and they're made aware of the fare before they take the trip. Unlike a taxi service, drivers for ride-hailing apps use their own vehicles to transport riders.Meanwhile, prearranged trips are typically the domain of chauffeurs. These drivers may work exclusively for one individual, company or government agency, or they may be hired for single trips. Chauffeurs still drive the stretch limos we all associate with the profession, but they also commonly drive other luxury cars, SUVs and vans. Companies that provide chauffeurs tout their customer service, so a pleasant demeanor is an especially important quality for these employees. Aggressive drivers with a lead foot or a tendency to tailgate and cut off other drivers need not apply.The Bureau of Labor Statistics projects 25.5 percent employment growth for taxi drivers between 2020 and 2030. In that period, an estimated 180,600 jobs should open up."
98,Community Health Worker,5.6,13500,3.1,42000,"Community health workers are the health advocates for their communities. They work with both their community and health professionals to provide health and promote wellness. As such, a CHW's job can take on many forms. At-risk kids, the HIV population and prospective college students are just a few examples of groups they help.Durrell Fox grew up in poverty. Although social justice and community development were his passions, he wanted to make a decent salary to help his family. ""At that time, I didn't know of any good paying jobs working with youth or doing community outreach,"" he writes in an email. So, Fox went to business school, got his bachelor's degree in business administration and went to work at a telephone company. And he hated it. What he enjoyed was the volunteering he was doing with youth in Boston. So, after a few years of hating his job and loving his volunteering, Fox quit his job with the telephone company and went to work at a community health center, suffering a 50% pay cut to do so. Since then, he has assumed many job titles, including outreach coordinator, outreach educator, community liaison, project director and co-facilitator. But in essence, he was a community health worker all along, before the term was even coined back in 2000.The Bureau of Labor Statistics projects 21.0 percent employment growth for community health workers between 2020 and 2030. In that period, an estimated 13,500 jobs should open up."
99,Nurse Midwife,5.6,800,N/A,111130,"Nurse midwives are advanced practice registered nurses (APRNs) who see women of all ages for annual exams, regular pregnancy exams, menopausal care and more. You could say this profession is similar to that of an obstetrician and gynecologist, although there are some significant differences. A nurse midwife is a registered nurse who has a graduate degree in midwifery, whereas an obstetrician and gynecologist has completed medical school and a residency program that qualifies him or her to perform surgeries. This means nurse midwives are equipped to handle normal pregnancies, but only an obstetrician and gynecologist could perform a cesarean section, for example. The writers of the BBC period drama ""Call the Midwife"" might have said it best when they opened their fourth season with the lines, ""Birth is the smallest of magnificent things and the greatest of little ones. … [For midwives] each one was as ordinary and magical as the sunrise, as familiar and different as a breaking day.""   Still, many women turn to midwives because they want a drug- and intervention-free approach to childbirth and more one-on-one time with their health care provider. Ginger Breedlove, former president of the American College of Nurse-Midwives, writes in an email, ""I'm always moved when I've finished an appointment and hear a woman say, 'No one has ever spent this amount of time discussing issues – or cared enough to make sure I understood – or even waited for me to ask more questions.'"" Midwifery is growing. And Breedlove points out that there are many areas of the country that are medically underserved or aren't served at all by maternity care providers such as nurse midwives, obstetricians or gynecologists.The Bureau of Labor Statistics projects 11.3 percent employment growth for nurse midwives between 2020 and 2030. In that period, an estimated 800 jobs should open up."
